step,district,population,perimeter,area,polsby_popper
3480,4,819143.0,272941.6374624882,1105933492.2120361,0.18655173355217336
3500,2,823602.0,1969319.3051066303,98090344884.38467,0.31783655805199473
3500,1,818877.0,902838.9025474037,27438034730.84097,0.4230019185505977
3500,3,810975.0,2250505.6742076115,65893932505.16451,0.16349145776425686
3500,4,818162.0,904659.0087206292,28386364181.81216,0.4358628051952503
3520,2,817393.0,2168952.9964361023,160951974170.94067,0.42993805853359196
3520,1,814859.0,425384.18232316524,2742792094.955265,0.19047591978233366
3520,3,820576.0,953763.9499809467,27888126498.167267,0.3852542137117979
3520,4,818788.0,1018091.2117123296,28225783538.139065,0.34220196064030994
3540,2,818891.0,1967096.6474454752,128651392717.5845,0.4178043521894661
3540,1,824193.0,843381.8108721834,28895012864.76932,0.5104865398368329
3540,3,815190.0,1411863.15819964,42180978620.76975,0.2659140618888199
3540,4,813342.0,702056.8967080764,20081292099.078697,0.5119845991921048
3560,2,814144.0,508786.50892233464,3395685652.3660007,0.1648413527088426
3560,1,821655.0,846828.5417149463,28911754016.72504,0.5066328312955406
3560,3,826044.0,727699.3957055763,20696552323.91989,0.4911383436463015
3560,4,809773.0,2073167.9085255254,166804684309.1913,0.48769595266372556
3580,2,823987.0,2166029.002002119,182581454097.7085,0.4890328024720797
3580,1,810530.0,339704.3707344283,1953504470.0611193,0.21272670050166678
3580,3,820726.0,678428.984630701,15042634205.205349,0.4107002532691015
3580,4,816373.0,1025157.497892698,20231083529.227306,0.24190665840845882
3600,2,810796.0,902338.4275150115,31438750795.000694,0.48521725822120365
3600,1,818159.0,2057560.683972721,153732471006.20447,0.4563206960348149
3600,3,817964.0,1193604.9226191652,31242538876.873016,0.27557193164964944
3600,4,824697.0,372563.4807201073,3394915624.124105,0.3073535857560951
3620,2,822947.0,1997944.0789920576,169186661952.41083,0.532610015584661
3620,1,816997.0,380156.70304618607,2089462686.5962312,0.18168504423342086
3620,3,821905.0,794824.7501291574,19413761737.782627,0.3861684552841689
3620,4,809767.0,878035.050936054,29118789925.41261,0.4746346946620498
3640,2,820697.0,887064.5493777285,16967932114.013762,0.27097444476045823
3640,1,813649.0,287315.8500133049,1193759345.6754656,0.18172198784900812
3640,3,820987.0,1153155.3103966927,38402904233.83215,0.36290949137192696
3640,4,816283.0,2167847.5981814484,163244080608.681,0.436505591333718
3660,2,820851.0,985488.2416585947,29204707946.77743,0.377885160747392
3660,1,817316.0,2408645.3318724623,180037818132.9302,0.38996703250724796
3660,3,811085.0,690650.2769202733,9142941462.034267,0.2408681753051101
3660,4,822364.0,258041.08300711808,1423208760.4604077,0.2685967543240217
3680,2,811847.0,1359805.7056353604,37499820849.35336,0.2548504112569867
3680,1,818895.0,339620.19015976693,2577165679.9202695,0.2807793741140445
3680,3,823683.0,299779.1787600559,1617291028.0584054,0.22614922837978463
3680,4,817191.0,2127613.185301919,178114398744.87027,0.49445132731438846
3700,2,819996.0,808561.0211176579,26808284639.35384,0.5152918667649726
3700,1,812308.0,1425729.1842522002,47833392925.42613,0.2957106543486526
3700,3,817134.0,2056315.6126112575,142950606922.47363,0.42483111931841055
3700,4,822178.0,348452.87622116855,2216391814.9487104,0.2293867321018945
3720,2,821375.0,862722.3559712376,28376033310.479263,0.4790925802369828
3720,1,819873.0,2121186.0304573104,158282110912.39008,0.4420630145663604
3720,3,812607.0,259374.18766078382,1129127422.4055681,0.21091103904328115
3720,4,817761.0,1278469.1142981658,32021404656.92743,0.24618963336431804
3740,2,815681.0,847001.9976684507,27567578826.775887,0.4828804466965877
3740,1,811308.0,915712.1605677496,25711364457.719124,0.38531598413720863
3740,3,823535.0,661429.3665121583,8157730193.447274,0.23432156290533285
3740,4,821092.0,2451298.3763399357,158372002824.26,0.3312042628862758
3760,2,824519.0,641754.6370476834,15080607578.999538,0.46014072489240937
3760,1,824009.0,2034256.8511980062,163646609089.45978,0.4969415383845615
3760,3,809863.0,440120.2190504079,2355140614.7209015,0.15278617734140074
3760,4,813225.0,1201337.2083573244,38726319019.022125,0.33719895953361156
3780,2,816582.0,988932.1870228383,26559314859.7822,0.34126653828254955
3780,1,809971.0,1085141.3417273695,30357283562.75762,0.3239665360019415
3780,3,823765.0,290807.2099368989,1358740775.5652337,0.2018999136912581
3780,4,821298.0,1936401.4712268626,161533337104.0973,0.5413538395685535
3800,2,813289.0,520552.5308544031,4631121453.257837,0.21476668323892745
3800,1,816853.0,907279.7400674023,28085527970.750957,0.4287558221515111
3800,3,818928.0,369103.26223044883,3048008339.8911915,0.28114492459431406
3800,4,822546.0,2380005.0264235297,184044018538.30237,0.4082966558653435
3820,2,817955.0,2737427.4005512465,199908935822.02863,0.33524078674818575
3820,1,815284.0,638025.7138155885,7465415872.678235,0.2304557272693582
3820,3,820845.0,602504.2250107795,11639274699.739325,0.4029169972859549
3820,4,817532.0,188871.1694668791,795049907.7561492,0.28007407912508026
3840,2,814405.0,850437.6346097386,28266408552.20173,0.49112897187509147
3840,1,822913.0,2359141.7189150713,157977969740.38055,0.3566960752363774
3840,3,812515.0,878923.5915165655,25323130272.95064,0.41193150619633906
3840,4,821783.0,732473.7708742098,8241167736.669364,0.19302540054560205
3860,2,818180.0,901169.9390454036,26887602108.242382,0.41605289112103927
3860,1,813271.0,2299210.9341964507,166321993050.95032,0.39536836095212463
3860,3,822706.0,231675.1959207094,806295209.7844753,0.18877516813542602
3860,4,817459.0,1115889.9524414188,25792785933.225136,0.2602947348242113
3880,2,811022.0,497346.14619619446,3845118335.205466,0.19534489215601905
3880,1,826001.0,910439.734884263,26021569544.237328,0.3944944930996244
3880,3,816599.0,914114.8821950789,25027937260.673702,0.37638591466776156
3880,4,817994.0,2434957.2880193517,164914051162.08582,0.34953029960077237
3900,2,820208.0,305509.9676236095,1779296928.6542346,0.2395562603207924
3900,1,814053.0,877602.5845239969,28368656790.858574,0.46286340947486077
3900,3,823632.0,2093907.877558839,162614171676.95505,0.4660721083291325
3900,4,813723.0,842584.4366780089,27046550905.734455,0.4787346782983578
3920,2,811035.0,1030673.4393397729,16612131471.955257,0.19651380053951858
3920,1,821876.0,858053.3605407991,24326477916.156124,0.4152030217297537
3920,3,823512.0,904748.9024495273,15743911177.899723,0.2416942759302782
3920,4,815193.0,2253340.323593816,163126155736.19116,0.40371965057491954
3940,2,824879.0,644169.5124388598,6664820585.399176,0.20183570405623733
3940,1,812697.0,2146270.11311341,161144391297.5067,0.43959860160196806
3940,3,819948.0,946394.3770387145,24440350142.68829,0.34290434245798057
3940,4,814092.0,843522.4853210035,27559114276.60812,0.4867229134614069
3960,2,810561.0,1953417.813157355,160421587609.09525,0.5283021603195986
3960,1,817079.0,813795.2339318144,27688780123.109066,0.5253919357664585
